Title,Rank,Type,Episodes,Aired,Members,Page_url,image_url,Score
Banana Fish,133,TV,24,Jul 2018 - Dec 2018,814329,https://myanimelist.net/anime/36649/Banana_Fish,https://cdn.myanimelist.net/r/100x140/images/anime/1190/93472.jpg?s=f9b6cf0ae178bb3075023f6d36c96715,8.48
Persona 4 the Animation,1729,TV,25,Oct 2011 - Mar 2012,257383,https://myanimelist.net/anime/10588/Persona_4_the_Animation,https://cdn.myanimelist.net/r/100x140/images/anime/4/29107.jpg?s=dd1802bfe7943b12682d550cc50a0272,7.5
Jirijiri Moyou no Ryuuryuu Tenten,10898,ONA,1,Jul 2012 - Jul 2012,367,https://myanimelist.net/anime/37546/Jirijiri_Moyou_no_Ryuuryuu_Tenten,https://cdn.myanimelist.net/r/100x140/images/anime/1305/91250.jpg?s=991ff8eddfac8032f9c117df519a030a,5.48
Romantic Killer,524,ONA,12,Oct 2022 - Oct 2022,159661,https://myanimelist.net/anime/52865/Romantic_Killer,https://cdn.myanimelist.net/r/100x140/images/anime/1676/128173.jpg?s=c4e4423d39747c9fb90745fbc5a22fa9,8.06
Himote House,10273,TV,12,Oct 2018 - Dec 2018,17255,https://myanimelist.net/anime/36945/Himote_House,https://cdn.myanimelist.net/r/100x140/images/anime/1790/94342.jpg?s=9e4fe55dd0742171be8b5f1cac59c967,5.66
Precure All Stars Movie New Stage: Mirai no Tomodachi,3309,Movie,1,Mar 2012 - Mar 2012,5626,https://myanimelist.net/anime/12221/Precure_All_Stars_Movie_New_Stage__Mirai_no_Tomodachi,https://cdn.myanimelist.net/r/100x140/images/anime/8/39609.jpg?s=ee4c9afa0b3b0e09c05c5b0670b0a64b,7.15
Super Bikkuriman,6982,TV,44,May 1992 - Apr 1993,640,https://myanimelist.net/anime/6583/Super_Bikkuriman,https://cdn.myanimelist.net/r/100x140/images/anime/6/15072.jpg?s=619ebe0957221c01c040cc091899f5c0,6.39
Katarina Nounai Kaigi X,10468,ONA,23,Jun 2021 - Sep 2021,4645,https://myanimelist.net/anime/49501/Katarina_Nounai_Kaigi_X,https://cdn.myanimelist.net/r/100x140/images/anime/1722/116827.jpg?s=be2d53a5077956252e0fd177f1bb07a8,5.61
Ring ni Kakero 1: Sekai Taikai-hen,6814,TV,6,Apr 2011 - Jun 2011,1501,https://myanimelist.net/anime/10346/Ring_ni_Kakero_1__Sekai_Taikai-hen,https://cdn.myanimelist.net/r/100x140/images/anime/6/75841.jpg?s=3f8001c952895eed371fd9e437888226,6.42
Kageyama Tamio no Double Fantasy,9139,Special,1,Jan 1994 - Jan 1994,590,https://myanimelist.net/anime/41325/Kageyama_Tamio_no_Double_Fantasy,https://cdn.myanimelist.net/r/100x140/images/anime/1523/106150.jpg?s=d4643dd88bd738d127d91e4f7a0e3e00,5.94
Keijo!!!!!!!!,4285,TV,12,Oct 2016 - Dec 2016,389224,https://myanimelist.net/anime/32686/Keijo,https://cdn.myanimelist.net/r/100x140/images/anime/10/81906.jpg?s=2798a1236ac45fae98841328cd359ce2,6.93
Hi☆sCoool! SeHa Girls,6498,TV,13,Oct 2014 - Dec 2014,11685,https://myanimelist.net/anime/23787/Hi☆sCoool_SeHa_Girls,https://cdn.myanimelist.net/r/100x140/images/anime/5/66173.jpg?s=fda4499a7aa1d87f24e834dd167ae461,6.48
Kyuuketsuhime Miyu (TV),3271,TV,26,Oct 1997 - Mar 1998,38764,https://myanimelist.net/anime/690/Kyuuketsuhime_Miyu_TV,https://cdn.myanimelist.net/r/100x140/images/anime/1427/134363.jpg?s=378d52d7aedd40958c180e8f11be5b0d,7.16
Landscape,12441,Movie,1,2004 - 2004,452,https://myanimelist.net/anime/30814/Landscape,https://cdn.myanimelist.net/r/100x140/images/anime/2/74281.jpg?s=17bd99654fe0ee3dd6e2ee58e871168a,4.65
Toaru Majutsu no Index,2257,TV,24,Oct 2008 - Mar 2009,791235,https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index,https://cdn.myanimelist.net/r/100x140/images/anime/2/75533.jpg?s=650b4e7ceecfd349e894eb745a194b17,7.36
Puparia,1347,ONA,1,Nov 2020 - Nov 2020,45456,https://myanimelist.net/anime/44059/Puparia,https://cdn.myanimelist.net/r/100x140/images/anime/1308/110285.jpg?s=ca09b90590a51252117a690ab94e7ceb,7.62
Kobato.,651,TV,24,Oct 2009 - Mar 2010,163055,https://myanimelist.net/anime/5678/Kobato,https://cdn.myanimelist.net/r/100x140/images/anime/8/79838.jpg?s=dd986523456d768420a19d270d7b0aab,7.95
DD Hokuto no Ken,8643,TV,12,Jan 2011 - Apr 2011,4963,https://myanimelist.net/anime/10177/DD_Hokuto_no_Ken,https://cdn.myanimelist.net/r/100x140/images/anime/12/28072.jpg?s=e39a5ed085a1400099c43a59a7d1aa63,6.05
Princess Connect! Re:Dive,3793,TV,13,Apr 2020 - Jun 2020,272807,https://myanimelist.net/anime/39292/Princess_Connect_Re_Dive,https://cdn.myanimelist.net/r/100x140/images/anime/1810/106070.jpg?s=8887821cdddc92e3ff9b59c52f98e0fc,7.05
Miyako,9223,ONA,1,Sep 2012 - Sep 2012,519,https://myanimelist.net/anime/37530/Miyako,https://cdn.myanimelist.net/r/100x140/images/anime/1741/92704.jpg?s=e44522edc892d6b489cde580c4b849bc,5.92
Bungou to Alchemist: Shinpan no Haguruma,6474,TV,13,Apr 2020 - Aug 2020,50498,https://myanimelist.net/anime/40934/Bungou_to_Alchemist__Shinpan_no_Haguruma,https://cdn.myanimelist.net/r/100x140/images/anime/1223/114346.jpg?s=9e0f4649a2562bd24392b058f7c6e05e,6.49
Kiddy GiRL-AND Pilot,5717,OVA,1,May 2007 - May 2007,4848,https://myanimelist.net/anime/5859/Kiddy_GiRL-AND_Pilot,https://cdn.myanimelist.net/r/100x140/images/anime/6/12294.jpg?s=e6e5b298a55352456936429c832d1538,6.63
Hendo Garden,12013,Special,1,Jun 2015 - Jun 2015,266,https://myanimelist.net/anime/36675/Hendo_Garden,https://cdn.myanimelist.net/r/100x140/images/anime/9/88652.jpg?s=2a1b352a0d988c74711debeeb3561e08,5.01
Diabolik Lovers OVA,10089,OVA,1,Feb 2015 - Feb 2015,38683,https://myanimelist.net/anime/27417/Diabolik_Lovers_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/12/74238.jpg?s=4e74f7742b957e873fd0a04f7caaa17d,5.71
Tenkuu Senki Shurato,3163,TV,38,Apr 1989 - Jan 1990,10694,https://myanimelist.net/anime/2113/Tenkuu_Senki_Shurato,https://cdn.myanimelist.net/r/100x140/images/anime/1989/92418.jpg?s=ce04f42cf6efe3d77f626b7f2a186327,7.18
Norimono Oukoku BuBu ChaCha,5727,TV,26,Apr 1999 - Nov 1999,909,https://myanimelist.net/anime/4054/Norimono_Oukoku_BuBu_ChaCha,https://cdn.myanimelist.net/r/100x140/images/anime/6/63221.jpg?s=803ed15548fd6a528e59aab4d3d13dd1,6.63
Urvan,9562,ONA,1,Feb 2021 - Feb 2021,947,https://myanimelist.net/anime/45518/Urvan,https://cdn.myanimelist.net/r/100x140/images/anime/1650/112507.jpg?s=ad2180977fc2ba066675f7c55e5d4227,5.84
Muhyo to Rouji no Mahouritsu Soudan Jimusho,5328,TV,12,Aug 2018 - Oct 2018,51328,https://myanimelist.net/anime/37487/Muhyo_to_Rouji_no_Mahouritsu_Soudan_Jimusho,https://cdn.myanimelist.net/r/100x140/images/anime/1180/93407.jpg?s=a85321b1f9011b83191d3ecc56f23000,6.71
Hokuto no Ken: Yuria-den,3628,OVA,1,Feb 2007 - Feb 2007,8730,https://myanimelist.net/anime/3027/Hokuto_no_Ken__Yuria-den,https://cdn.myanimelist.net/r/100x140/images/anime/10/29633.jpg?s=c24313376e409b2dc59e2b027bd62c37,7.09
