Title,Rank,Type,Episodes,Aired,Members,Page_url,image_url,Score
Bai Ye Ling Long,7615,ONA,25,Jun 2018 - Nov 2018,4198,https://myanimelist.net/anime/37740/Bai_Ye_Ling_Long,https://cdn.myanimelist.net/r/100x140/images/anime/1269/93787.jpg?s=f522a0c2092313d369cdfb9fa44da65a,6.26
Hello Kitty no Oyayubi-hime (OVA),10756,OVA,1,Dec 2001 - Dec 2001,601,https://myanimelist.net/anime/17481/Hello_Kitty_no_Oyayubi-hime_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/7/46705.jpg?s=c0dd664d0d9d6f568ae5aa7bd91758a9,5.53
Dr. Slump: Arale-chan '92 Oshougatsu Special,9758,Special,3,Jan 1992 - Jan 1992,889,https://myanimelist.net/anime/28367/Dr_Slump__Arale-chan_92_Oshougatsu_Special,https://cdn.myanimelist.net/r/100x140/images/anime/12/68503.jpg?s=3756d19693087e779080718093dd6acc,5.79
Freezing Vibration Specials,6619,Special,6,Dec 2013 - May 2014,26200,https://myanimelist.net/anime/21373/Freezing_Vibration_Specials,https://cdn.myanimelist.net/r/100x140/images/anime/8/56413.jpg?s=8ec45b7ca151519476a2e9f14a8805b3,6.46
Nezumi no Rusuban,12578,Movie,1,1931 - 1931,1212,https://myanimelist.net/anime/5811/Nezumi_no_Rusuban,https://cdn.myanimelist.net/r/100x140/images/anime/6/82050.jpg?s=040cdac820d71e405f64ec9dc16c8ecd,4.46
Kamisama Hajimemashita OVA,541,OVA,2,Aug 2013 - Aug 2013,125227,https://myanimelist.net/anime/18661/Kamisama_Hajimemashita_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/6/56425.jpg?s=4e47a59a8500f931fefabce8b210cdc2,8.04
Durarara!!x2 Ten,622,TV,12,Jul 2015 - Sep 2015,384340,https://myanimelist.net/anime/27831/Durararax2_Ten,https://cdn.myanimelist.net/r/100x140/images/anime/8/74981.jpg?s=6e6f68d56af4e43dcd469a6da5a3cafe,7.97
Wall,12154,Movie,1,1987 - 1987,556,https://myanimelist.net/anime/31266/Wall,https://cdn.myanimelist.net/r/100x140/images/anime/2/75695.jpg?s=1e7a487ec2f58017abb4222b53ffce4c,4.9
Jewelpet Magical Change,4280,TV,39,Apr 2015 - Dec 2015,2951,https://myanimelist.net/anime/30030/Jewelpet_Magical_Change,https://cdn.myanimelist.net/r/100x140/images/anime/5/73970.jpg?s=1f9989252f56aec924faf5d1349b7fc0,6.93
Pianoman,7592,ONA,1,Jan 2020 - Jan 2020,1344,https://myanimelist.net/anime/41217/Pianoman,https://cdn.myanimelist.net/r/100x140/images/anime/1219/106730.jpg?s=477249545481d84ee483335927507d37,6.27
Ankoku Shinwa,12684,OVA,2,Jan 1990 - Feb 1990,3067,https://myanimelist.net/anime/1966/Ankoku_Shinwa,https://cdn.myanimelist.net/r/100x140/images/anime/2/57439.jpg?s=35f31f008599395e3bcd4fd746a39f9b,4.11
New Dream Hunter Rem: Setsuriku no Mudenmekyu,6970,OVA,1,Dec 1992 - Dec 1992,2316,https://myanimelist.net/anime/5584/New_Dream_Hunter_Rem__Setsuriku_no_Mudenmekyu,https://cdn.myanimelist.net/r/100x140/images/anime/13/11541.jpg?s=c92a123c5a91abd1ebba633f7b1e6a61,6.39
Majin Tantei Nougami Neuro,1413,TV,25,Oct 2007 - Mar 2008,66188,https://myanimelist.net/anime/2985/Majin_Tantei_Nougami_Neuro,https://cdn.myanimelist.net/r/100x140/images/anime/12/20930.jpg?s=2071386b3b17fb2e8e38e5dc301e38f9,7.59
Pokemon: Aki no Special,10007,Special,1,Oct 1997 - Oct 1997,2127,https://myanimelist.net/anime/37865/Pokemon__Aki_no_Special,https://cdn.myanimelist.net/r/100x140/images/anime/1287/123875.jpg?s=f2b14d3b8750b93601a5462c2c5abd91,5.73
Pokemon,2173,TV,276,Apr 1997 - Nov 2002,609295,https://myanimelist.net/anime/527/Pokemon,https://cdn.myanimelist.net/r/100x140/images/anime/13/73834.jpg?s=cd44ba16f171649dcd579b955f0a315f,7.38
Choco Kyouju no Oheya,12483,ONA,1,Apr 2016 - Apr 2016,1090,https://myanimelist.net/anime/34710/Choco_Kyouju_no_Oheya,https://cdn.myanimelist.net/r/100x140/images/anime/7/83687.jpg?s=5878be03b76610945337fdc290a611f7,4.61
Dragon Ball Movie 4: Saikyou e no Michi,3483,Movie,1,Mar 1996 - Mar 1996,59518,https://myanimelist.net/anime/893/Dragon_Ball_Movie_4__Saikyou_e_no_Michi,https://cdn.myanimelist.net/r/100x140/images/anime/1497/93677.jpg?s=eb58bc016c1d19c15e6634bca9bcda99,7.12
Love Live! School Idol Project OVA,4605,OVA,1,Nov 2013 - Nov 2013,50176,https://myanimelist.net/anime/20745/Love_Live_School_Idol_Project_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/1565/104629.jpg?s=9f0934c7e8d3a2288263d58b33154e3f,6.86
Uzaki-chan wa Asobitai!,4020,TV,12,Jul 2020 - Sep 2020,451727,https://myanimelist.net/anime/41226/Uzaki-chan_wa_Asobitai,https://cdn.myanimelist.net/r/100x140/images/anime/1540/108292.jpg?s=e9564028ecf711aebbd5768561ecba0a,7.0
Tales of Vesperia: The First Strike,1477,Movie,1,Oct 2009 - Oct 2009,48416,https://myanimelist.net/anime/6046/Tales_of_Vesperia__The_First_Strike,https://cdn.myanimelist.net/r/100x140/images/anime/7/16680.jpg?s=ecee7df016303f3de0d60820e6ffa1f9,7.57
Roujin Z,3846,Movie,1,Sep 1991 - Sep 1991,36079,https://myanimelist.net/anime/2000/Roujin_Z,https://cdn.myanimelist.net/r/100x140/images/anime/1584/93628.jpg?s=756193dcba674e5dce98f0c1feb701ba,7.04
Kashimashi: Girl Meets Girl,5716,TV,12,Jan 2006 - Mar 2006,49472,https://myanimelist.net/anime/667/Kashimashi__Girl_Meets_Girl,https://cdn.myanimelist.net/r/100x140/images/anime/9/19498.jpg?s=112a3eec224e214cf6f4f85b3efcf281,6.63
Houkago no Pleiades,8292,ONA,4,Feb 2011 - Feb 2011,17639,https://myanimelist.net/anime/9911/Houkago_no_Pleiades,https://cdn.myanimelist.net/r/100x140/images/anime/9/47741.jpg?s=03661a385012fafe448360ec64972bd5,6.12
Suki tte Ii na yo. Mei and Marshmallow,4708,Special,10,Dec 2012 - May 2013,57359,https://myanimelist.net/anime/17409/Suki_tte_Ii_na_yo_Mei_and_Marshmallow,https://cdn.myanimelist.net/r/100x140/images/anime/7/46551.jpg?s=a98b1de64b03036dc154e95e1a7b79f4,6.84
Hi no Tori: Uchuu-hen,4043,OVA,1,Dec 1987 - Dec 1987,3089,https://myanimelist.net/anime/2998/Hi_no_Tori__Uchuu-hen,https://cdn.myanimelist.net/r/100x140/images/anime/3/14209.jpg?s=385f9fe2976dfd5f47ee787a1ea77dac,7.0
Pokemon Best Wishes! Season 2,6811,TV,24,Jun 2012 - Jan 2013,66658,https://myanimelist.net/anime/14093/Pokemon_Best_Wishes_Season_2,https://cdn.myanimelist.net/r/100x140/images/anime/1227/113635.jpg?s=4d513853671dc2204be3ed58a8115ce3,6.42
Elf-ban Kakyuusei: Anata dake wo Mitsumete...,8431,OVA,4,Nov 1997 - Jun 1998,3591,https://myanimelist.net/anime/661/Elf-ban_Kakyuusei__Anata_dake_wo_Mitsumete,https://cdn.myanimelist.net/r/100x140/images/anime/10/20194.jpg?s=fe06fc9968dc0ccbf3f574cfa3b9a5a1,6.09
Dibetagurashi: Ahiru no Seikatsu,10541,TV,39,Apr 2013 - Mar 2014,988,https://myanimelist.net/anime/17733/Dibetagurashi__Ahiru_no_Seikatsu,https://cdn.myanimelist.net/r/100x140/images/anime/8/50677.jpg?s=8ee900655d9bd5d8f733a0eb783d5d8d,5.59
Tie Shan Gongzhu,11486,Movie,1,Jan 1941 - Jan 1941,1136,https://myanimelist.net/anime/9521/Tie_Shan_Gongzhu,https://cdn.myanimelist.net/r/100x140/images/anime/8/68815.jpg?s=8a33b569cbb34b24a6774b6019173bc7,5.28
Arata Kangatari Picture Drama,9675,Special,6,Jun 2013 - Nov 2013,2535,https://myanimelist.net/anime/19447/Arata_Kangatari_Picture_Drama,https://cdn.myanimelist.net/r/100x140/images/anime/4/52145.jpg?s=b0a8f943b43d7b6be703ced404640f89,5.81
Wakaokami wa Shougakusei! Movie,1735,Movie,1,Sep 2018 - Sep 2018,18747,https://myanimelist.net/anime/37682/Wakaokami_wa_Shougakusei_Movie,https://cdn.myanimelist.net/r/100x140/images/anime/1371/94401.jpg?s=fab02556daa33e24851ee1cb898c5fc1,7.5
Gegege no Kitarou (2018),3015,TV,97,Apr 2018 - Mar 2020,48520,https://myanimelist.net/anime/37140/Gegege_no_Kitarou_2018,https://cdn.myanimelist.net/r/100x140/images/anime/1273/93610.jpg?s=f76b47d37db79c1648348ef0f197d691,7.21
Bakuman.: Deraman.,3199,Special,2,Sep 2012 - Jan 2013,16985,https://myanimelist.net/anime/15711/Bakuman__Deraman,https://cdn.myanimelist.net/r/100x140/images/anime/10/60857.jpg?s=22078a17b0003451653a9e7775633d6f,7.17
Aloha! Youkai Watch: Rakuen Hawaii de Geragerapou!!,10080,ONA,1,Jun 2015 - Jun 2015,727,https://myanimelist.net/anime/31164/Aloha_Youkai_Watch__Rakuen_Hawaii_de_Geragerapou,https://cdn.myanimelist.net/r/100x140/images/anime/12/74922.jpg?s=313c48a2fda390d92a786e790c63df9a,5.71
Senkou no Night Raid Specials,4776,Special,3,Jun 2010 - Dec 2010,5442,https://myanimelist.net/anime/8800/Senkou_no_Night_Raid_Specials,https://cdn.myanimelist.net/r/100x140/images/anime/3/26157.jpg?s=46ccc4e009f653f197979c75b0855bd8,6.82
Mini Hama: Minimum Hamatora Movies,9013,Movie,2,Nov 2015 - Nov 2015,2951,https://myanimelist.net/anime/31923/Mini_Hama__Minimum_Hamatora_Movies,https://cdn.myanimelist.net/r/100x140/images/anime/7/76836.jpg?s=4e2fc3c475fa0638a9b493dea0fb3f78,5.97
Pokemon (2019): Natsuyasumi Chokuzen 1-jikan Special,9715,Special,1,Jul 2021 - Jul 2021,824,https://myanimelist.net/anime/49321/Pokemon_2019__Natsuyasumi_Chokuzen_1-jikan_Special,https://cdn.myanimelist.net/r/100x140/images/anime/1977/122521.jpg?s=d8ddaa96fe0caf2dd813035d1123652d,5.8
IDOLiSH7,1118,TV,17,Jan 2018 - May 2018,66804,https://myanimelist.net/anime/33899/IDOLiSH7,https://cdn.myanimelist.net/r/100x140/images/anime/1390/90828.jpg?s=e669709214b80b6d8f427671057c7f7c,7.71
Anime Sanjuushi,3614,TV,52,Oct 1987 - Feb 1989,4999,https://myanimelist.net/anime/2333/Anime_Sanjuushi,https://cdn.myanimelist.net/r/100x140/images/anime/3/61981.jpg?s=7037271b73af1341a10afcbb9c11f1c9,7.09
Yowai Mushi,9241,Special,1,Nov 2012 - Nov 2012,2339,https://myanimelist.net/anime/16233/Yowai_Mushi,https://cdn.myanimelist.net/r/100x140/images/anime/12/68995.jpg?s=8a6552c80984d5b2e7a80c858fb6be28,5.92
Shoka,9287,Special,1,Mar 2010 - Mar 2010,5337,https://myanimelist.net/anime/8337/Shoka,https://cdn.myanimelist.net/r/100x140/images/anime/11/21936.jpg?s=d3565f1e9b80333a08a538f079285e16,5.91
Iron Man: Rise of Technovore,8136,OVA,1,Apr 2013 - Apr 2013,8177,https://myanimelist.net/anime/15847/Iron_Man__Rise_of_Technovore,https://cdn.myanimelist.net/r/100x140/images/anime/6/43035.jpg?s=173c26578cfe124e48831c5868543e67,6.15
Twisted-Wonderland 3-shuunen Kinen PV,7154,ONA,1,Mar 2023 - Mar 2023,494,https://myanimelist.net/anime/54745/Twisted-Wonderland_3-shuunen_Kinen_PV,https://cdn.myanimelist.net/r/100x140/images/anime/1854/134331.jpg?s=78917b52b3eb0d8682579b4ddf8d1050,6.35
Liang Bu Yi 2nd Season,2501,ONA,24,Oct 2022 - Apr 2023,3050,https://myanimelist.net/anime/50403/Liang_Bu_Yi_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1385/119524.jpg?s=318ab019f2c242b004f27a9d25a1b3a5,7.31
Robot Taekwon V,12498,Movie,1,Jul 1976 - Jul 1976,690,https://myanimelist.net/anime/10763/Robot_Taekwon_V,https://cdn.myanimelist.net/r/100x140/images/anime/5/29661.jpg?s=00ad55f4a546a893c3094e4e6f993371,4.59
High School Jingi,9803,OVA,1,Feb 1992 - Feb 1992,798,https://myanimelist.net/anime/24089/High_School_Jingi,https://cdn.myanimelist.net/r/100x140/images/anime/5/62609.jpg?s=5c5bdc0290145358d6065a5ea6dbc4a4,5.78
Cinterrier-jou no Hanamuko,12400,Movie,1,1954 - 1954,446,https://myanimelist.net/anime/28829/Cinterrier-jou_no_Hanamuko,https://cdn.myanimelist.net/r/100x140/images/anime/1524/95727.jpg?s=398ce90b1712a842f071a57bf03e76be,4.69
Kurogane Communication,5320,TV,24,Oct 1998 - Mar 1999,6092,https://myanimelist.net/anime/1660/Kurogane_Communication,https://cdn.myanimelist.net/r/100x140/images/anime/1266/133852.jpg?s=2b0c37ca3ec43c5c923f1624ab2f7fff,6.71
21 Emon Uchuu e Irasshai!,9620,Movie,1,Aug 1981 - Aug 1981,700,https://myanimelist.net/anime/6073/21_Emon_Uchuu_e_Irasshai,https://cdn.myanimelist.net/r/100x140/images/anime/1235/134126.jpg?s=af90ad97023bc9d912221325144378d8,5.83
Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,6851,Movie,1,Mar 1992 - Mar 1992,2338,https://myanimelist.net/anime/7436/Dragon_Quest__Dai_no_Daibouken_Tachiagare_Aban_no_Shito,https://cdn.myanimelist.net/r/100x140/images/anime/12/31457.jpg?s=2f71b6eff337a4c5cfd03e3e6310411f,6.41
Youkai Watch Movie 6: Youkai Gakuen Y - Neko wa Hero ni Nareru ka,9309,Movie,1,Dec 2019 - Dec 2019,1115,https://myanimelist.net/anime/39529/Youkai_Watch_Movie_6__Youkai_Gakuen_Y_-_Neko_wa_Hero_ni_Nareru_ka,https://cdn.myanimelist.net/r/100x140/images/anime/1960/106354.jpg?s=9a673f8575e405fb254cd47769781d9b,5.9
Holiday Advent Calendar 2018,11664,ONA,13,Dec 2018 - Dec 2018,286,https://myanimelist.net/anime/38805/Holiday_Advent_Calendar_2018,https://cdn.myanimelist.net/r/100x140/images/anime/1459/98879.jpg?s=c036d7d865b949a87963e8f908c8f858,5.2
Monster Musume no Iru Nichijou OVA,3451,OVA,2,Nov 2016 - Apr 2017,107225,https://myanimelist.net/anime/32698/Monster_Musume_no_Iru_Nichijou_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/2/83661.jpg?s=c0246da2fcb362b82fc99e8f3b1eb2ef,7.12
Glasslip,11091,TV,13,Jul 2014 - Sep 2014,163394,https://myanimelist.net/anime/23079/Glasslip,https://cdn.myanimelist.net/r/100x140/images/anime/12/64265.jpg?s=332242111c343a04e1f095d8ea04d9f8,5.42
Aoki Hagane no Arpeggio: Ars Nova,2282,TV,12,Oct 2013 - Dec 2013,147583,https://myanimelist.net/anime/18893/Aoki_Hagane_no_Arpeggio__Ars_Nova,https://cdn.myanimelist.net/r/100x140/images/anime/6/56143.jpg?s=a2bc6d078cce9f7b7b8bf821ae3a7e30,7.35
Tokyo Mew Mew,3667,TV,52,Apr 2002 - Mar 2003,149518,https://myanimelist.net/anime/687/Tokyo_Mew_Mew,https://cdn.myanimelist.net/r/100x140/images/anime/4/89298.jpg?s=1e9f9b2fb9a4c20e2259e2278d8d58a7,7.08
Cleopatra D.C.,9639,OVA,3,Apr 1989 - May 1991,3386,https://myanimelist.net/anime/2754/Cleopatra_DC,https://cdn.myanimelist.net/r/100x140/images/anime/1367/107825.jpg?s=5ab8fd5b4ec3c205522ded78a7039edb,5.82
Eien no Aselia,11390,OVA,2,Jun 2005 - Mar 2006,4655,https://myanimelist.net/anime/503/Eien_no_Aselia,https://cdn.myanimelist.net/r/100x140/images/anime/1405/112180.jpg?s=2c9cca6e70673c17e0485a77d3d3b17b,5.32
Terra e... (TV),762,TV,24,Apr 2007 - Sep 2007,60566,https://myanimelist.net/anime/2158/Terra_e_TV,https://cdn.myanimelist.net/r/100x140/images/anime/1013/117558.jpg?s=66a457b1bec1f398240cbdb743587249,7.88
World Trigger 2nd Season,508,TV,12,Jan 2021 - Apr 2021,140105,https://myanimelist.net/anime/40907/World_Trigger_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1598/110462.jpg?s=79bbfbfb21186d3a8d0d78fc4d3f396e,8.06
Ma Shen,10001,ONA,16,Jun 2016 - Nov 2016,1721,https://myanimelist.net/anime/33755/Ma_Shen,https://cdn.myanimelist.net/r/100x140/images/anime/6/81481.jpg?s=fbf73a1d6031da3f3d9c88e0a571792e,5.73
Gotou ni Naritai.,3904,Movie,1,Oct 1995 - Oct 1995,2841,https://myanimelist.net/anime/8120/Gotou_ni_Naritai,https://cdn.myanimelist.net/r/100x140/images/anime/1831/112918.jpg?s=912f0d81a952d2e5ea27d61e862a551d,7.03
Sakura Taisen: Le Nouveau Paris,6744,OVA,3,Oct 2004 - Mar 2005,2942,https://myanimelist.net/anime/562/Sakura_Taisen__Le_Nouveau_Paris,https://cdn.myanimelist.net/r/100x140/images/anime/1260/107216.jpg?s=baf020c02bb75d4373f550b274454bb7,6.43
Kishin Taisen Gigantic Formula,4968,TV,26,Apr 2007 - Sep 2007,6703,https://myanimelist.net/anime/2215/Kishin_Taisen_Gigantic_Formula,https://cdn.myanimelist.net/r/100x140/images/anime/1387/133796.jpg?s=e58e5a22bcc26a988113f8f27c7625ab,6.78
Ace wo Nerae! 2,3193,OVA,13,Jul 1988 - Oct 1988,3144,https://myanimelist.net/anime/314/Ace_wo_Nerae_2,https://cdn.myanimelist.net/r/100x140/images/anime/6/71785.jpg?s=6929dc6cb1a1a0366832ac39ac643a7e,7.17
Ultra Maniac OVA,5742,OVA,1,Aug 2002 - Aug 2002,5571,https://myanimelist.net/anime/179/Ultra_Maniac_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/2/3132.jpg?s=ea7f6d59dfd5df1c237de3f1ca382f36,6.62
Ore dake Haireru Kakushi Dungeon,7440,TV,12,Jan 2021 - Mar 2021,359842,https://myanimelist.net/anime/41899/Ore_dake_Haireru_Kakushi_Dungeon,https://cdn.myanimelist.net/r/100x140/images/anime/1988/115708.jpg?s=f76d5df8f3f5e0385f50e8fc4401f50f,6.3
Sabaku no Kuni no Oujosama,10922,OVA,1,Mar 2001 - Mar 2001,374,https://myanimelist.net/anime/23707/Sabaku_no_Kuni_no_Oujosama,https://cdn.myanimelist.net/r/100x140/images/anime/13/61377.jpg?s=aeee212792ce5f0a3d7e918e577c6645,5.47
Gunslinger Stratos The Animation: Bunki/Futatsu no Mirai,8775,Special,1,Jun 2015 - Jun 2015,3426,https://myanimelist.net/anime/31065/Gunslinger_Stratos_The_Animation__Bunki_Futatsu_no_Mirai,https://cdn.myanimelist.net/r/100x140/images/anime/8/74746.jpg?s=d416a78ee3f422ec155f5c6f1bcf5e1b,6.02
Chrome Shelled Regios,2633,TV,24,Jan 2009 - Jun 2009,208255,https://myanimelist.net/anime/4186/Chrome_Shelled_Regios,https://cdn.myanimelist.net/r/100x140/images/anime/9/12238.jpg?s=85c7795958a933b10f1661c39941bc8f,7.28
Tanoshii Muumin Ikka Bouken Nikki,1887,TV,26,Oct 1991 - Mar 1992,6434,https://myanimelist.net/anime/5712/Tanoshii_Muumin_Ikka_Bouken_Nikki,https://cdn.myanimelist.net/r/100x140/images/anime/4/11862.jpg?s=6718d8c5dfbffe4823e1d830ccd5485d,7.45
Hijikata Toshizou: Shiro no Kiseki,8438,OVA,1,Jan 2004 - Jan 2004,3255,https://myanimelist.net/anime/1977/Hijikata_Toshizou__Shiro_no_Kiseki,https://cdn.myanimelist.net/r/100x140/images/anime/1/2252.jpg?s=aaa81853d2f9867b4fa2f8ac4a1e0ecd,6.09
Persona 3 the Movie 2: Midsummer Knight's Dream,1378,Movie,1,Jun 2014 - Jun 2014,82619,https://myanimelist.net/anime/21473/Persona_3_the_Movie_2__Midsummer_Knights_Dream,https://cdn.myanimelist.net/r/100x140/images/anime/11/61681.jpg?s=83a4440d76db42a063fa57921557a8e9,7.61
Yao Shen Ji 4th Season,2326,ONA,52,Apr 2020 - Sep 2020,6278,https://myanimelist.net/anime/40734/Yao_Shen_Ji_4th_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1196/107545.jpg?s=3761ba024a32c5905e5f62fd439b2187,7.34
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,70,TV,12,Apr 2020 - Jun 2020,1264927,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,https://cdn.myanimelist.net/r/100x140/images/anime/1764/106659.jpg?s=31550f89f62679c9820095853bb522a6,8.64
Ninja Hattori-kun (2012),6078,TV,52,May 2012 - Feb 2015,2758,https://myanimelist.net/anime/18845/Ninja_Hattori-kun_2012,https://cdn.myanimelist.net/r/100x140/images/anime/9/50285.jpg?s=a65ef2bbf0d7e5aa93532a5082628dc7,6.56
Yuru Yuri Nachuyachumi!,817,OVA,1,Feb 2015 - Feb 2015,71756,https://myanimelist.net/anime/23225/Yuru_Yuri_Nachuyachumi,https://cdn.myanimelist.net/r/100x140/images/anime/2/73281.jpg?s=30e4fda5c44e323322fcf54e3a73db11,7.85
Duel Masters Victory V3,10346,TV,51,Apr 2013 - Mar 2014,1192,https://myanimelist.net/anime/21999/Duel_Masters_Victory_V3,https://cdn.myanimelist.net/r/100x140/images/anime/1264/105194.jpg?s=df206fe2207373d7acaeb5a01285eb8f,5.64
Golden Kamuy,796,TV,12,Apr 2018 - Jun 2018,364560,https://myanimelist.net/anime/36028/Golden_Kamuy,https://cdn.myanimelist.net/r/100x140/images/anime/1145/90880.jpg?s=e13b66ccb307015485e7c414c2b3107b,7.87
Great Pretender,310,TV,23,Jul 2020 - Dec 2020,619045,https://myanimelist.net/anime/40052/Great_Pretender,https://cdn.myanimelist.net/r/100x140/images/anime/1418/107954.jpg?s=4136fbee5a896a7c4b4ee7ac976c4937,8.23
Zegapain,2617,TV,26,Apr 2006 - Sep 2006,33522,https://myanimelist.net/anime/878/Zegapain,https://cdn.myanimelist.net/r/100x140/images/anime/6/76949.jpg?s=1c5ba2d1d1cf560b74a1b99580d33530,7.29
White Album 2,1354,TV,13,Oct 2013 - Dec 2013,239772,https://myanimelist.net/anime/18245/White_Album_2,https://cdn.myanimelist.net/r/100x140/images/anime/2/53561.jpg?s=47edf8786ebd043fb6bf37087d654f34,7.62
4-nin wa Sorezore Uso wo Tsuku,3328,TV,11,Oct 2022 - Dec 2022,33253,https://myanimelist.net/anime/51464/4-nin_wa_Sorezore_Uso_wo_Tsuku,https://cdn.myanimelist.net/r/100x140/images/anime/1934/128719.jpg?s=7c18a0275732e12b4aee7bc508539955,7.15
Hina Logi: From Luck & Logic,5683,TV,12,Jul 2017 - Sep 2017,28699,https://myanimelist.net/anime/34834/Hina_Logi__From_Luck___Logic,https://cdn.myanimelist.net/r/100x140/images/anime/11/86576.jpg?s=15cd816a6a941e30d23c28abf90e1f38,6.64
Pokemon Sun & Moon Planetarium,8382,Movie,1,Sep 2017 - Sep 2017,649,https://myanimelist.net/anime/42139/Pokemon_Sun___Moon_Planetarium,https://cdn.myanimelist.net/r/100x140/images/anime/1310/107851.jpg?s=ee9f83094710405a92379ba2a37fce02,6.1
Tokimeki Memorial 4 OVA,8970,OVA,1,Dec 2009 - Dec 2009,2212,https://myanimelist.net/anime/7691/Tokimeki_Memorial_4_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/12/21756.jpg?s=157832269c780dd68e074d1459471e35,5.98
Jungle Taitei: Yuuki ga Mirai wo Kaeru,5384,Special,1,Sep 2009 - Sep 2009,2356,https://myanimelist.net/anime/6909/Jungle_Taitei__Yuuki_ga_Mirai_wo_Kaeru,https://cdn.myanimelist.net/r/100x140/images/anime/13/37235.jpg?s=3f6d6a40f07903974cc833126a832b56,6.7
Dimension W: Short Track/Robot wa Sentou no Yume wo Miruka,5761,Special,1,Aug 2016 - Aug 2016,18047,https://myanimelist.net/anime/33069/Dimension_W__Short_Track_Robot_wa_Sentou_no_Yume_wo_Miruka,https://cdn.myanimelist.net/r/100x140/images/anime/8/79605.jpg?s=785f2be2bbfd0426962f5e4137782774,6.62
Bakugan Battle Brawlers,6760,TV,52,Apr 2007 - Mar 2008,103872,https://myanimelist.net/anime/2156/Bakugan_Battle_Brawlers,https://cdn.myanimelist.net/r/100x140/images/anime/7/21568.jpg?s=536ce27e0f0b6ff05684a9452b62f8a7,6.43
Hibike! Euphonium,596,TV,13,Apr 2015 - Jul 2015,439152,https://myanimelist.net/anime/27989/Hibike_Euphonium,https://cdn.myanimelist.net/r/100x140/images/anime/6/72445.jpg?s=f369e718f51116afea390b27c69bbcde,8.0
Ray The Animation,5926,TV,13,Apr 2006 - Jun 2006,14043,https://myanimelist.net/anime/919/Ray_The_Animation,https://cdn.myanimelist.net/r/100x140/images/anime/11/33315.jpg?s=5459a462d507952f783193931e9b205a,6.59
Norakuro Shoui: Nichiyoubi no Kaijiken,12377,Movie,1,1933 - 1933,1011,https://myanimelist.net/anime/6850/Norakuro_Shoui__Nichiyoubi_no_Kaijiken,https://cdn.myanimelist.net/r/100x140/images/anime/5/15854.jpg?s=425add8e6a1a8dacb71025af850a5f6e,4.72
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,3770,OVA,1,Dec 2016 - Dec 2016,171443,https://myanimelist.net/anime/32801/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_OVA,https://cdn.myanimelist.net/r/100x140/images/anime/9/81432.jpg?s=49fb1e37e83e67c6bf07de1fd903aff3,7.05
Haou Daikei Ryuu Knight: Adeu Legend Final,8197,OVA,1,May 1996 - May 1996,899,https://myanimelist.net/anime/1851/Haou_Daikei_Ryuu_Knight__Adeu_Legend_Final,https://cdn.myanimelist.net/r/100x140/images/anime/13/65709.jpg?s=c92f33c65838b8219bf1a731a6463610,6.14
Grancrest Senki: Tsuisou,6132,Special,1,Mar 2018 - Mar 2018,11628,https://myanimelist.net/anime/37505/Grancrest_Senki__Tsuisou,https://cdn.myanimelist.net/r/100x140/images/anime/1795/91146.jpg?s=0c1d4d4a4b8359870786335262b343fb,6.55
Clamp Gakuen Tanteidan,4671,TV,26,May 1997 - Oct 1997,14029,https://myanimelist.net/anime/1844/Clamp_Gakuen_Tanteidan,https://cdn.myanimelist.net/r/100x140/images/anime/1709/111109.jpg?s=9d3a632bd3eb467b1c7acfd5b52a296b,6.84
Kaiketsu Zorori Da-Da-Da-Daibouken!,7909,Movie,1,Dec 2012 - Dec 2012,559,https://myanimelist.net/anime/15067/Kaiketsu_Zorori_Da-Da-Da-Daibouken,https://cdn.myanimelist.net/r/100x140/images/anime/2/40869.jpg?s=4dee9abeed59e5c94b7a78c54fa3adac,6.2
Chiisana Eiyuu: Kani to Tamago to Toumei Ningen,4728,Movie,3,Aug 2018 - Aug 2018,25960,https://myanimelist.net/anime/37623/Chiisana_Eiyuu__Kani_to_Tamago_to_Toumei_Ningen,https://cdn.myanimelist.net/r/100x140/images/anime/1881/93496.jpg?s=d1d94a402a69c4da45e209915e683811,6.83
Asa made Jugyou Chu!,8633,OVA,1,Jun 2012 - Jun 2012,54190,https://myanimelist.net/anime/12581/Asa_made_Jugyou_Chu,https://cdn.myanimelist.net/r/100x140/images/anime/1618/112459.jpg?s=67e60e01bc0b71b7c4d0f80f07cf723c,6.05
